type_batiment,type_installation,zone_climatique,fecs
Maison individuelle,Chauffage solaire (seul ou combiné),H1a,0.25
Maison individuelle,ECS solaire seule > 5 ans,H1a,0.49
Maison individuelle,ECS solaire seule ≤ 5 ans,H1a,0.63
Maison individuelle,Chauffage + ECS solaire,H1a,0.87
Logement collectif,ECS solaire seule > 5 ans,H1a,0.26
Logement collectif,ECS solaire seule ≤ 5 ans,H1a,0.38
Maison individuelle,Chauffage solaire (seul ou combiné),H1b,0.22
Maison individuelle,ECS solaire seule > 5 ans,H1b,0.5
Maison individuelle,ECS solaire seule ≤ 5 ans,H1b,0.64
Maison individuelle,Chauffage + ECS solaire,H1b,0.88
Logement collectif,ECS solaire seule > 5 ans,H1b,0.27
Logement collectif,ECS solaire seule ≤ 5 ans,H1b,0.4
Maison individuelle,Chauffage solaire (seul ou combiné),H1c,0.28
Maison individuelle,ECS solaire seule > 5 ans,H1c,0.53
Maison individuelle,ECS solaire seule ≤ 5 ans,H1c,0.68
Maison individuelle,Chauffage + ECS solaire,H1c,0.9
Logement collectif,ECS solaire seule > 5 ans,H1c,0.31
Logement collectif,ECS solaire seule ≤ 5 ans,H1c,0.45
Maison individuelle,Chauffage solaire (seul ou combiné),H2a,0.34
Maison individuelle,ECS solaire seule > 5 ans,H2a,0.51
Maison individuelle,ECS solaire seule ≤ 5 ans,H2a,0.66
Maison individuelle,Chauffage + ECS solaire,H2a,0.9
Logement collectif,ECS solaire seule > 5 ans,H2a,0.28
Logement collectif,ECS solaire seule ≤ 5 ans,H2a,0.41
Maison individuelle,Chauffage solaire (seul ou combiné),H2b,0.33
Maison individuelle,ECS solaire seule > 5 ans,H2b,0.54
Maison individuelle,ECS solaire seule ≤ 5 ans,H2b,0.69
Maison individuelle,Chauffage + ECS solaire,H2b,0.91
Logement collectif,ECS solaire seule > 5 ans,H2b,0.32
Logement collectif,ECS solaire seule ≤ 5 ans,H2b,0.46
Maison individuelle,Chauffage solaire (seul ou combiné),H2c,0.38
Maison individuelle,ECS solaire seule > 5 ans,H2c,0.58
Maison individuelle,ECS solaire seule ≤ 5 ans,H2c,0.74
Maison individuelle,Chauffage + ECS solaire,H2c,0.95
Logement collectif,ECS solaire seule > 5 ans,H2c,0.35
Logement collectif,ECS solaire seule ≤ 5 ans,H2c,0.5
Maison individuelle,Chauffage solaire (seul ou combiné),H2d,0.39
Maison individuelle,ECS solaire seule > 5 ans,H2d,0.61
Maison individuelle,ECS solaire seule ≤ 5 ans,H2d,0.77
Maison individuelle,Chauffage + ECS solaire,H2d,0.96
Logement collectif,ECS solaire seule > 5 ans,H2d,0.38
Logement collectif,ECS solaire seule ≤ 5 ans,H2d,0.56
Maison individuelle,Chauffage solaire (seul ou combiné),H3,0.52
Maison individuelle,ECS solaire seule > 5 ans,H3,0.64
Maison individuelle,ECS solaire seule ≤ 5 ans,H3,0.8
Maison individuelle,Chauffage + ECS solaire,H3,0.98
Logement collectif,ECS solaire seule > 5 ans,H3,0.4
Logement collectif,ECS solaire seule ≤ 5 ans,H3,0.58
