type_pac,annee_generateur,zone_hiver,COP
CET sur air extérieur ou ambiant (sur local non chauffé),2010,H1,2
CET sur air extérieur ou ambiant (sur local non chauffé),2010,H2,2
CET sur air extérieur ou ambiant (sur local non chauffé),2014,H1,2.2
CET sur air extérieur ou ambiant (sur local non chauffé),2014,H2,2.2
CET sur air extérieur ou ambiant (sur local non chauffé),2100,H1,2.5
CET sur air extérieur ou ambiant (sur local non chauffé),2100,H2,2.5
CET sur air extrait,2010,H1,2.3
CET sur air extrait,2010,H2,2.3
CET sur air extrait,2014,H1,2.5
CET sur air extrait,2014,H2,2.5
CET sur air extrait,2100,H1,2.8
CET sur air extrait,2100,H2,2.8
PAC double service,2010,H1,2
PAC double service,2010,H2,2
PAC double service,2014,H1,2.1
PAC double service,2014,H2,2.1
PAC double service,2100,H1,2.3
PAC double service,2100,H2,2.3
CET sur air extérieur ou ambiant (sur local non chauffé),2010,H3,2.3
CET sur air extérieur ou ambiant (sur local non chauffé),2014,H3,2.5
CET sur air extérieur ou ambiant (sur local non chauffé),2100,H3,2.8
CET sur air extrait,2010,H3,2.3
CET sur air extrait,2014,H3,2.5
CET sur air extrait,2100,H3,2.9
PAC double service,2010,H3,2.3
PAC double service,2014,H3,2.4
PAC double service,2100,H3,2.6
