altitude,month,zone_climatique,E(kWh/m²),Text(°C),Nref(19°C),DH19(°Ch),DH14(°Ch),Nref(21°C),DH21(°Ch)
8000,Janvier,H1a,0,0,0,0,0,0,0
8000,Février,H1a,0,0,0,0,0,0,0
8000,Mars,H1a,0,0,0,0,0,0,0
8000,Avril,H1a,0,0,0,0,0,0,0
8000,Mai,H1a,0,0,0,0,0,0,0
8000,Juin,H1a,0,0,0,0,0,0,0
8000,Juillet,H1a,0,0,0,0,0,0,0
8000,Août,H1a,0,0,0,0,0,0,0
8000,Septembre,H1a,0,0,0,0,0,0,0
8000,Octobre,H1a,0,0,0,0,0,0,0
8000,Novembre,H1a,0,0,0,0,0,0,0
8000,Décembre,H1a,0,0,0,0,0,0,0
800,Janvier,H1a,0.6,0.6,0.6,13200.4,13200.4,744,14688.4
800,Février,H1a,1.5,1.5,1.5,11310.8,11310.8,672,12654.8
800,Mars,H1a,5.7,5.7,5.7,9402.4,9402.4,742,10884.9
800,Avril,H1a,8.3,8.3,8.3,7283.3,7283.3,719,8709.4
800,Mai,H1a,13,13,13,4359.2,4359.2,663,5655.9
800,Juin,H1a,16.1,16.1,16.1,1795.8,1795.8,418,2575.1
800,Juillet,H1a,0,0,0,0,0,0,0
800,Août,H1a,0,0,0,0,0,0,0
800,Septembre,H1a,12.6,12.6,12.6,3385.3,3385.3,522,4403.7
800,Octobre,H1a,11.8,11.8,11.8,4977.9,4977.9,722,6393.3
800,Novembre,H1a,6.8,6.8,6.8,8298.6,8298.6,720,9738.6
800,Décembre,H1a,3,3,3,11061.3,11061.3,744,12549.3
400,Janvier,H1a,38.36,2.6,744,11712.4,8488,744,13200.4
400,Février,H1a,37.47,3.5,672,9966.8,7038.8,672,11310.8
400,Mars,H1a,77.61,7.7,738,7922.7,4733.2,741,9402.4
400,Avril,H1a,86.79,10.3,695,5877.4,2950.5,710,7283.3
400,Mai,H1a,19.19,12.8,172,1069.9,378.9,190,1437
400,Juin,H1a,0,0,0,0,0,0,0
400,Juillet,H1a,0,0,0,0,0,0,0
400,Août,H1a,0,0,0,0,0,0,0
400,Septembre,H1a,16.11,12.3,119,740.6,272.8,120,979.8
400,Octobre,H1a,61.45,13.8,644,3645.4,1056,683,4977.9
400,Novembre,H1a,43.04,8.8,715,6861,3795,720,8298.6
400,Décembre,H1a,34.26,5,744,9573.3,6705.3,744,11061.3
8000,Janvier,H1b,31.13,0.7,744,13156.7,9928.7,744,14644.7
8000,Février,H1b,45.92,1.2,672,11562.7,8634.7,672,12906.7
8000,Mars,H1b,61.88,3.3,744,11177.8,7937.8,744,12665.8
8000,Avril,H1b,68.92,6.3,622,7551.9,4928.7,624,8797.7
8000,Mai,H1b,0,0,0,0,0,0,0
8000,Juin,H1b,0,0,0,0,0,0,0
8000,Juillet,H1b,0,0,0,0,0,0,0
8000,Août,H1b,0,0,0,0,0,0,0
8000,Septembre,H1b,0,0,0,0,0,0,0
8000,Octobre,H1b,53.53,8.5,508,5281.6,3107.8,518,6307.2
8000,Novembre,H1b,33.95,2.6,720,11353.8,8233.8,720,12793.8
8000,Décembre,H1b,37.72,0.2,744,13428.5,10560.5,744,14916.5
800,Janvier,H1b,2.7,2.7,2.7,11668.7,11668.7,744,13156.7
800,Février,H1b,3.2,3.2,3.2,10218.7,10218.7,672,11562.7
800,Mars,H1b,5.3,5.3,5.3,9689.8,9689.8,744,11177.8
800,Avril,H1b,8.3,8.3,8.3,7285,7285,718,8706.2
800,Mai,H1b,12,12,12,2826.2,2826.2,369,3533.3
800,Juin,H1b,0,0,0,0,0,0,0
800,Juillet,H1b,0,0,0,0,0,0,0
800,Août,H1b,0,0,0,0,0,0,0
800,Septembre,H1b,13.4,13.4,13.4,2766.9,2766.9,463,3655.5
800,Octobre,H1b,10.3,10.3,10.3,5278.8,5278.8,624,6509.3
800,Novembre,H1b,4.6,4.6,4.6,9913.8,9913.8,720,11353.8
800,Décembre,H1b,1.8,1.8,1.8,11940.5,11940.5,744,13428.5
400,Janvier,H1b,31.13,4.7,744,10180.7,6952.7,744,11668.7
400,Février,H1b,45.92,5.2,672,8874.7,5962.7,672,10218.7
400,Mars,H1b,61.88,7.3,737,8207.7,5001.6,744,9689.8
400,Avril,H1b,79.71,10.3,664,5914.4,3126.6,700,7285
400,Mai,H1b,48.02,14,310,2174.8,887.6,338,2827.6
400,Juin,H1b,0,0,0,0,0,0,0
400,Juillet,H1b,0,0,0,0,0,0,0
400,Août,H1b,0,0,0,0,0,0,0
400,Septembre,H1b,0,0,0,0,0,0,0
400,Octobre,H1b,52.89,12.4,434,3218.1,1383.5,463,4112.7
400,Novembre,H1b,33.95,6.6,720,8473.8,5382.8,720,9913.8
400,Décembre,H1b,37.72,3.8,744,10452.5,7584.5,744,11940.5
8000,Janvier,H1c,47.86,0.2,744,13829.2,10601.2,744,15317.2
8000,Février,H1c,55.9,0.1,672,12378.3,9450.3,672,13722.3
8000,Mars,H1c,91.2,4.5,744,10330.9,7091.2,744,11818.9
8000,Avril,H1c,86.83,7.6,711,7787,4784.4,717,9216.3
8000,Mai,H1c,81.59,12.6,632,4637.2,2087.5,671,5941.6
8000,Juin,H1c,11.4,10.7,94,748.3,355.8,96,939.6
8000,Juillet,H1c,0,0,0,0,0,0,0
8000,Août,H1c,0,0,0,0,0,0,0
8000,Septembre,H1c,33.16,13.2,244,1612.4,623.8,266,2124.5
8000,Octobre,H1c,66.87,9.5,697,6634.5,3781.7,732,8069.3
8000,Novembre,H1c,45.76,3.6,720,10593.5,7474.7,720,12033.5
8000,Décembre,H1c,33.59,0.8,744,13860.4,10992.4,744,15348.4
800,Janvier,H1c,1.8,1.8,1.8,12341.2,12341.2,744,13829.2
800,Février,H1c,1.9,1.9,1.9,11034.3,11034.3,672,12378.3
800,Mars,H1c,6.5,6.5,6.5,8843.1,8843.1,744,10330.9
800,Avril,H1c,9.6,9.6,9.6,6396.5,6396.5,711,7787
800,Mai,H1c,14.6,14.6,14.6,3424.8,3424.8,632,4637.2
800,Juin,H1c,13.7,13.7,13.7,729.2,729.2,134,986.2
800,Juillet,H1c,0,0,0,0,0,0,0
800,Août,H1c,0,0,0,0,0,0,0
800,Septembre,H1c,15,15,15,1458,1458,301,2018.5
800,Octobre,H1c,11.5,11.5,11.5,5280.4,5280.4,697,6634.5
800,Novembre,H1c,5.6,5.6,5.6,9154.2,9154.2,720,10593.5
800,Décembre,H1c,1.2,1.2,1.2,12372.4,12372.4,744,13860.4
400,Janvier,H1c,47.86,3.8,741,10855.3,7640.7,744,12341.2
400,Février,H1c,55.9,3.9,672,9690.3,6768.8,672,11034.3
400,Mars,H1c,91.2,8.5,730,7369.8,4277.2,743,8843.1
400,Avril,H1c,86.83,11.6,640,5072.2,2436,680,6396.5
400,Mai,H1c,41.69,15.5,324,1543.9,391.5,373,2243.2
400,Juin,H1c,0,0,0,0,0,0,0
400,Juillet,H1c,0,0,0,0,0,0,0
400,Août,H1c,0,0,0,0,0,0,0
400,Septembre,H1c,0,0,0,0,0,0,0
400,Octobre,H1c,13.39,5.5,144,1865.2,1229.2,144,2153.2
400,Novembre,H1c,45.76,7.6,717,7720,4669.4,718,9154.2
400,Décembre,H1c,33.59,3.2,744,10884.4,8016.4,744,12372.4
8000,Janvier,H2a,0,0,0,0,0,0,0
8000,Février,H2a,0,0,0,0,0,0,0
8000,Mars,H2a,0,0,0,0,0,0,0
8000,Avril,H2a,0,0,0,0,0,0,0
8000,Mai,H2a,0,0,0,0,0,0,0
8000,Juin,H2a,0,0,0,0,0,0,0
8000,Juillet,H2a,0,0,0,0,0,0,0
8000,Août,H2a,0,0,0,0,0,0,0
8000,Septembre,H2a,0,0,0,0,0,0,0
8000,Octobre,H2a,0,0,0,0,0,0,0
8000,Novembre,H2a,0,0,0,0,0,0,0
8000,Décembre,H2a,0,0,0,0,0,0,0
800,Janvier,H2a,3.8,3.8,3.8,10795.3,10795.3,744,12283.3
800,Février,H2a,2.4,2.4,2.4,10746.9,10746.9,672,12090.9
800,Mars,H2a,6.6,6.6,6.6,8719.6,8719.6,744,10206.4
800,Avril,H2a,8.2,8.2,8.2,7309.9,7309.9,720,8742.9
800,Mai,H2a,11.6,11.6,11.6,4465,4465,638,5724
800,Juin,H2a,0,0,0,0,0,0,0
800,Juillet,H2a,0,0,0,0,0,0,0
800,Août,H2a,0,0,0,0,0,0,0
800,Septembre,H2a,12.5,12.5,12.5,442.1,442.1,72,586.1
800,Octobre,H2a,10.6,10.6,10.6,5770.5,5770.5,744,7251.6
800,Novembre,H2a,7.4,7.4,7.4,7844,7844,720,9284
800,Décembre,H2a,4.2,4.2,4.2,10167.6,10167.6,744,11655.6
400,Janvier,H2a,39.47,5.8,744,9307.3,6080,744,10795.3
400,Février,H2a,61.19,4.4,672,9402.9,6474.9,672,10746.9
400,Mars,H2a,95.11,8.6,727,7252.2,4167.5,741,8719.6
400,Avril,H2a,84.18,10.2,698,5896.3,2967.3,712,7309.9
400,Mai,H2a,71.22,13.5,519,3070,1120,569,4160.5
400,Juin,H2a,0,0,0,0,0,0,0
400,Juillet,H2a,0,0,0,0,0,0,0
400,Août,H2a,0,0,0,0,0,0,0
400,Septembre,H2a,0,0,0,0,0,0,0
400,Octobre,H2a,59.63,12.4,656,4227.7,1609.8,690,5578.2
400,Novembre,H2a,63.38,9.4,720,6404,3341.2,720,7844
400,Décembre,H2a,41.26,6.2,744,8679.6,5818.4,744,10167.6
8000,Janvier,H2b,0,0,0,0,0,0,0
8000,Février,H2b,0,0,0,0,0,0,0
8000,Mars,H2b,0,0,0,0,0,0,0
8000,Avril,H2b,0,0,0,0,0,0,0
8000,Mai,H2b,0,0,0,0,0,0,0
8000,Juin,H2b,0,0,0,0,0,0,0
8000,Juillet,H2b,0,0,0,0,0,0,0
8000,Août,H2b,0,0,0,0,0,0,0
8000,Septembre,H2b,0,0,0,0,0,0,0
8000,Octobre,H2b,0,0,0,0,0,0,0
8000,Novembre,H2b,0,0,0,0,0,0,0
8000,Décembre,H2b,0,0,0,0,0,0,0
800,Janvier,H2b,4.1,4.1,4.1,10607.8,10607.8,744,12095.8
800,Février,H2b,2.2,2.2,2.2,10847.7,10847.7,672,12191.7
800,Mars,H2b,6.7,6.7,6.7,8657.9,8657.9,742,10140.7
800,Avril,H2b,8.7,8.7,8.7,6967.5,6967.5,718,8393.9
800,Mai,H2b,11.4,11.4,11.4,4254.8,4254.8,583,5403.7
800,Juin,H2b,0,0,0,0,0,0,0
800,Juillet,H2b,0,0,0,0,0,0,0
800,Août,H2b,0,0,0,0,0,0,0
800,Septembre,H2b,0,0,0,0,0,0,0
800,Octobre,H2b,11.4,11.4,11.4,5365.9,5365.9,711,6772
800,Novembre,H2b,6.1,6.1,6.1,8822,8822,720,10261.9
800,Décembre,H2b,3.6,3.6,3.6,10569,10569,744,12057
400,Janvier,H2b,32.4,6.1,744,9119.8,5893.2,744,10607.8
400,Février,H2b,59.81,4.2,672,9503.7,6575.7,672,10847.7
400,Mars,H2b,73.5,8.7,737,7178,4004.4,741,8657.9
400,Avril,H2b,89.72,10.7,677,5583.5,2758.8,704,6967.5
400,Mai,H2b,62.9,13.4,502,3027.1,1042.7,540,4074.8
400,Juin,H2b,0,0,0,0,0,0,0
400,Juillet,H2b,0,0,0,0,0,0,0
400,Août,H2b,0,0,0,0,0,0,0
400,Septembre,H2b,0,0,0,0,0,0,0
400,Octobre,H2b,37.37,11.4,272,2055.7,922.7,285,2614.1
400,Novembre,H2b,42.57,8.1,716,7387.1,4286.9,719,8822
400,Décembre,H2b,27.5,5.6,744,9081,6214.7,744,10569
8000,Janvier,H2c,40.4,1.1,744,12788.8,9560.8,744,14276.8
8000,Février,H2c,63.77,2.6,672,10569,7641,672,11913
8000,Mars,H2c,110.02,5.7,744,9385.1,6205.7,744,10867.6
8000,Avril,H2c,86.61,7.8,721,7623.4,4599.9,720,9053.8
8000,Mai,H2c,95.01,12.4,663,4719.7,2153,684,6040
8000,Juin,H2c,8.85,17,50,249,48.2,52,349.7
8000,Juillet,H2c,0,0,0,0,0,0,0
8000,Août,H2c,0,0,0,0,0,0,0
8000,Septembre,H2c,10.75,13.7,72,431,168.3,70,569.1
8000,Octobre,H2c,72.63,11.7,676,5232.2,2549.1,692,6578
8000,Novembre,H2c,63.3,5.1,720,9558,6455.8,720,10998
8000,Décembre,H2c,38.16,1,744,12511.9,9643.9,744,13999.9
800,Janvier,H2c,3.1,3.1,3.1,11300.8,11300.8,744,12788.8
800,Février,H2c,4.6,4.6,4.6,9225,9225,672,10569
800,Mars,H2c,7.7,7.7,7.7,7919.8,7919.8,738,9385.1
800,Avril,H2c,9.8,9.8,9.8,6225.4,6225.4,712,7623.4
800,Mai,H2c,13.7,13.7,13.7,1907.2,1907.2,316,2504.8
800,Juin,H2c,0,0,0,0,0,0,0
800,Juillet,H2c,0,0,0,0,0,0,0
800,Août,H2c,0,0,0,0,0,0,0
800,Septembre,H2c,0,0,0,0,0,0,0
800,Octobre,H2c,13.6,13.6,13.6,3925.9,3925.9,641,5165.6
800,Novembre,H2c,7.1,7.1,7.1,8128.7,8128.7,720,9558
800,Décembre,H2c,3,3,3,11023.9,11023.9,744,12511.9
400,Janvier,H2c,40.4,5.1,744,9812.8,6588.7,744,11300.8
400,Février,H2c,63.77,6.6,670,7883.1,4997.8,672,9225
400,Mars,H2c,110.02,9.7,699,6489.1,3607.4,726,7919.8
400,Avril,H2c,61.26,12.2,412,3120.2,1427.6,445,3977.6
400,Mai,H2c,0,0,0,0,0,0,0
400,Juin,H2c,0,0,0,0,0,0,0
400,Juillet,H2c,0,0,0,0,0,0,0
400,Août,H2c,0,0,0,0,0,0,0
400,Septembre,H2c,0,0,0,0,0,0,0
400,Octobre,H2c,68.99,15.6,533,2791.8,880.2,604,3925.9
400,Novembre,H2c,63.3,9.1,693,6725.2,3747.6,709,8128.7
400,Décembre,H2c,38.16,5,744,9535.9,6667.9,744,11023.9
8000,Janvier,H2d,98.24,0.9,744,13007.7,9780.5,744,14495.7
8000,Février,H2d,100.73,1.1,672,11601.2,8673.2,672,12945.2
8000,Mars,H2d,116.26,5.3,737,9710.8,6554.6,740,11184.6
8000,Avril,H2d,104.57,9.4,680,6609.3,3909.7,693,7954.2
8000,Mai,H2d,81.37,12.2,644,4291,2025.3,590,5432.4
8000,Juin,H2d,0,0,0,0,0,0,0
8000,Juillet,H2d,0,0,0,0,0,0,0
8000,Août,H2d,0,0,0,0,0,0,0
8000,Septembre,H2d,48.93,14.2,253,1585,605.4,258,2081.8
8000,Octobre,H2d,73.86,10.8,619,4795.3,2359,618,5999.2
8000,Novembre,H2d,87.35,4.9,718,9658.1,6590,720,11094.3
8000,Décembre,H2d,85.07,1,744,20887.4,9641,744,13997
800,Janvier,H2d,2.9,2.9,2.9,11520.5,11520.5,744,13007.7
800,Février,H2d,3.1,3.1,3.1,10257.2,10257.2,672,11601.2
800,Mars,H2d,7.3,7.3,7.3,8257.8,8257.8,732,9710.8
800,Avril,H2d,11.4,11.4,11.4,5355.9,5355.9,650,6609.3
800,Mai,H2d,15.6,15.6,15.6,69.5,69.5,21,108.6
800,Juin,H2d,0,0,0,0,0,0,0
800,Juillet,H2d,0,0,0,0,0,0,0
800,Août,H2d,0,0,0,0,0,0,0
800,Septembre,H2d,0,0,0,0,0,0,0
800,Octobre,H2d,12.5,12.5,12.5,2673.9,2673.9,405,3454.7
800,Novembre,H2d,6.9,6.9,6.9,8239.6,8239.6,714,9658.1
800,Décembre,H2d,3,3,3,18255.9,18255.9,744,12509
400,Janvier,H2d,98.24,4.9,738,10042,6887.9,742,11520.5
400,Février,H2d,100.73,5.1,672,8913.2,5991.6,672,10257.2
400,Mars,H2d,116.26,9.3,699,6834.6,3901.6,721,8257.8
400,Avril,H2d,91.41,12.7,482,3813.8,1799.9,518,4811.6
400,Mai,H2d,0,0,0,0,0,0,0
400,Juin,H2d,0,0,0,0,0,0,0
400,Juillet,H2d,0,0,0,0,0,0,0
400,Août,H2d,0,0,0,0,0,0,0
400,Septembre,H2d,0,0,0,0,0,0,0
400,Octobre,H2d,9.68,13.6,53,370,153,63,482
400,Novembre,H2d,87.35,8.9,683,6851.3,3992.8,704,8239.6
400,Décembre,H2d,85.07,5,744,15639.4,6669.3,744,11021
8000,Janvier,H3,92.47,1.9,744,12240.6,9012.6,744,13728.6
8000,Février,H3,91.37,5.4,672,8719.2,5792.2,672,10063.2
8000,Mars,H3,109.83,6.2,744,9039.1,5846.1,744,10526.9
8000,Avril,H3,115.14,9.8,721,6188,3211.5,720,7620.9
8000,Mai,H3,89.43,14.5,521,2768.5,889.7,542,3794.2
8000,Juin,H3,0,0,0,0,0,0,0
8000,Juillet,H3,0,0,0,0,0,0,0
8000,Août,H3,0,0,0,0,0,0,0
8000,Septembre,H3,0,0,0,0,0,0,0
8000,Octobre,H3,0,0,0,0,0,0,0
8000,Novembre,H3,80.94,5.8,672,8442.5,5542.7,672,9786.3
8000,Décembre,H3,75,3.6,744,10630.7,7762.7,744,12118.7
800,Janvier,H3,3.9,3.9,3.9,10752.6,10752.6,744,12240.6
800,Février,H3,7.4,7.4,7.4,7375.6,7375.6,672,8719.2
800,Mars,H3,8.2,8.2,8.2,7568.3,7568.3,743,9039.1
800,Avril,H3,11.2,11.2,11.2,3284.2,3284.2,452,4174.9
800,Mai,H3,0,0,0,0,0,0,0
800,Juin,H3,0,0,0,0,0,0,0
800,Juillet,H3,0,0,0,0,0,0,0
800,Août,H3,0,0,0,0,0,0,0
800,Septembre,H3,0,0,0,0,0,0,0
800,Octobre,H3,12.2,12.2,12.2,151.2,151.2,24,199.2
800,Novembre,H3,8,8,8,7441.6,7441.6,719,8871
800,Décembre,H3,5.6,5.6,5.6,9142.7,9142.7,744,10630.7
400,Janvier,H3,92.47,5.9,744,9264.6,6041.1,744,10752.6
400,Février,H3,91.37,9.4,664,6041.6,3185.4,670,7375.6
400,Mars,H3,109.83,10.2,715,6118.4,3114.8,730,7568.3
400,Avril,H3,79.8,13.2,390,2469.9,948.2,434,3284.2
400,Mai,H3,0,0,0,0,0,0,0
400,Juin,H3,0,0,0,0,0,0,0
400,Juillet,H3,0,0,0,0,0,0,0
400,Août,H3,0,0,0,0,0,0,0
400,Septembre,H3,0,0,0,0,0,0,0
400,Octobre,H3,0,0,0,0,0,0,0
400,Novembre,H3,71.76,9.5,601,5536.8,3024.5,609,6748.2
400,Décembre,H3,75,7.6,739,7659.1,4827.6,744,9142.7
