"Zone climatique","Orientation de la véranda","Paroi donnant sur la véranda","bver"
"H1","Nord","Isolé","0.95"
"H1","Nord","Non isolé","0.85"
"H1","Sud","Isolé","0.58"
"H1","Sud","Non isolé","0.55"
"H2","Nord","Isolé","0.95"
"H2","Nord","Non isolé","0.85"
"H2","Sud","Isolé","0.57"
"H2","Sud","Non isolé","0.55"
"H3","Nord","Isolé","0.95"
"H3","Nord","Non isolé","0.85"
"H3","Sud","Isolé","0.48"
"H3","Sud","Non isolé","0.55"
"H1","Est","Isolé","0.63"
"H1","Est","Non isolé","0.6"
"H1","Ouest","Isolé","0.63"
"H1","Ouest","Non isolé","0.6"
"H2","Est","Isolé","0.6"
"H2","Est","Non isolé","0.58"
"H2","Ouest","Isolé","0.6"
"H2","Ouest","Non isolé","0.58"
"H3","Est","Isolé","0.53"
"H3","Est","Non isolé","0.53"
"H3","Ouest","Isolé","0.53"
"H3","Ouest","Non isolé","0.53"
